pd_itm_no,pd_itm_no_ma,pd_grp_no,pd_abrv_nm,lseg_key,ter,replication,base_market,base_asset,hedge_type,charge_rt_final,charge_rt_source
KR7469160006,A469160,ETF,ACE 일본반도체,469160,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KRG610000942,Q610094,ETN,메리츠 천연가스 선물 ETN(H),610094,,,,,,,
KR7450190004,A450190,ETF,KODEX 한중반도체(합성),450190,0.25,합성(패시브),국내&해외,주식,합성,0.25,LSEG
KR7451670004,A451670,ETF,RISE 국채30년레버리지(합성),451670,0.1,합성(패시브),국내,채권,합성,0.1,LSEG
KR7452250004,A452250,ETF,ACE 미국30년국채선물레버리지(합성 H),452250,0.25,합성(패시브),해외,채권,환노출,0.25,LSEG
KR7453060006,A453060,ETF,HANARO KOFR금리액티브(합성),453060,0.05,합성(액티브),국내,기타,합성,0.05,LSEG
KR7453540007,A453540,ETF,TIGER 25-10 회사채(A+이상)액티브,453540,,,,,,,
KR7453630006,A453630,ETF,KODEX 미국S&P500필수소비재,453630,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7454320003,A454320,ETF,HANARO CAPEX설비투자iSelect,454320,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7455860007,A455860,ETF,SOL 2차전지소부장Fn,455860,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7471230003,A471230,ETF,KODEX 국고채10년액티브,471230,0.015,실물(액티브),국내,채권,환노출,0.015,LSEG
KR7473440006,A473440,ETF,ACE 11월만기자동연장회사채AA-이상액티브,473440,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7473460004,A473460,ETF,KODEX 미국서학개미,473460,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7474390002,A474390,ETF,SOL 국고채30년액티브,474390,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7475070009,A475070,ETF,KoAct 글로벌친환경전력인프라액티브,475070,0.5,실물(액티브),국내&해외,주식,환노출,0.5,LSEG
KR7475280004,A475280,ETF,ACE 8월만기자동연장회사채AA-이상액티브,475280,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7475350005,A475350,ETF,RISE 버크셔포트폴리오TOP10,475350,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KRG510000422,Q510042,ETN,대신 KAP 통안채 6개월 ETN,510042,,,,,,,
KR7455890004,A455890,ETF,RISE 머니마켓액티브,455890,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7456600006,A456600,ETF,TIME 글로벌AI인공지능액티브,456600,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR7457930006,A457930,ETF,BNK 미래전략기술액티브,457930,0.495,실물(액티브),국내,주식,환노출,0.495,LSEG
KR7457990000,A457990,ETF,PLUS 태양광&ESS,457990,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7458250008,A458250,ETF,TIGER 미국30년국채스트립액티브(합성 H),458250,0.15,합성(액티브),해외,채권,환노출,0.15,LSEG
KR7460270002,A460270,ETF,KIWOOM 미국달러SOFR금리액티브(합성),460270,0.05,합성(액티브),해외,기타,합성,0.05,LSEG
KR7460960008,A460960,ETF,ACE 글로벌인컴TOP10,460960,0.24,실물(패시브),해외,혼합자산,환노출,0.24,LSEG
KR7461260002,A461260,ETF,ACE 25-06 회사채(AA-이상)액티브,461260,,,,,,,
KR7475630000,A475630,ETF,TIGER CD1년금리액티브(합성),475630,0.009,합성(액티브),국내,기타,합성,0.009,LSEG
KR7476030002,A476030,ETF,SOL 미국나스닥100,476030,0.05,실물(패시브),해외,주식,환노출,0.05,LSEG
KR7476310008,A476310,ETF,RISE 글로벌비만산업TOP2+,476310,0.35,실물(패시브),해외,주식,환노출,0.35,LSEG
KR7476450002,A476450,ETF,KIWOOM 머니마켓액티브,476450,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7476750005,A476750,ETF,ACE 미국30년국채엔화노출액티브(H),476750,0.15,실물(액티브),해외,채권,환헤지,0.15,LSEG
KR7476850003,A476850,ETF,KoAct 배당성장액티브,476850,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7477490007,A477490,ETF,에셋플러스 글로벌일등기업포커스10액티브,477490,0.99,실물(액티브),해외,주식,환노출,0.99,LSEG
KRG597100145,Q590014,ETN,미래글로벌헬스케어제,590014,,,,,,,
KR7461340002,A461340,ETF,HANARO 글로벌생성형AI액티브,461340,0.6,실물(액티브),해외,주식,환노출,0.6,LSEG
KR7462900002,A462900,ETF,KoAct 바이오헬스케어액티브,462900,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7463640003,A463640,ETF,KODEX 미국S&P500유틸리티,463640,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7464060003,A464060,ETF,HANARO 글로벌반도체TOP10 SOLACTIVE,464060,,,,,,,
KR7464240001,A464240,ETF,KIWOOM 26-09회사채(AA-이상)액티브,464240,0.07,실물(액티브),국내,채권,환노출,0.07,LSEG
KR7466930005,A466930,ETF,SOL 자동차TOP3플러스,466930,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7466940004,A466940,ETF,TIGER 은행고배당플러스TOP10,466940,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KRG610000959,Q610095,ETN,메리츠 레버리지 천연가스 선물 ETN(H),610095,,,,,,,
KR7468370002,A468370,ETF,KODEX iShares미국인플레이션국채액티브,468370,0.1,실물(액티브),해외,채권,환노출,0.1,LSEG
KR7468380001,A468380,ETF,KODEX iShares미국하이일드액티브,468380,0.15,실물(액티브),해외,채권,환노출,0.15,LSEG
KR7469050009,A469050,ETF,RISE 미국반도체NYSE(H),469050,0.01,실물(패시브),해외,주식,환헤지,0.01,LSEG
KR7469170005,A469170,ETF,ACE 포스코그룹포커스,469170,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7469790000,A469790,ETF,KIWOOM 코리아테크TOP10,469790,0.39,실물(패시브),국내,주식,환노출,0.39,LSEG
KR7471040006,A471040,ETF,KoAct 글로벌AI&로봇액티브,471040,0.5,실물(액티브),국내&해외,주식,환노출,0.5,LSEG
KR7471780007,A471780,ETF,TIGER 코리아테크액티브,471780,0.77,실물(액티브),국내,주식,환노출,0.77,LSEG
KRG610000488,Q610048,ETN,메리츠 인버스 2X 국채3년 ETN,610048,,,,,,,
KR7472170000,A472170,ETF,TIGER 미국테크TOP10채권혼합,472170,0.25,실물(패시브),국내&해외,혼합자산,환노출,0.25,LSEG
KR7472720002,A472720,ETF,TRUSTON 주주가치액티브,472720,0.785,실물(액티브),국내,주식,환노출,0.785,LSEG
KR7472830009,A472830,ETF,RISE 미국30년국채커버드콜(합성),472830,0.25,합성(패시브),해외,채권,합성,0.25,LSEG
KR7472840008,A472840,ETF,IBK 200,472840,0.08,실물(패시브),국내,주식,환노출,0.08,LSEG
KR7472870005,A472870,ETF,RISE 미국30년국채엔화노출(합성 H),472870,0.15,합성(패시브),해외,채권,환노출,0.15,LSEG
KR7472920008,A472920,ETF,HK 종합채권(AA-이상)액티브,472920,0.036,실물(액티브),국내,채권,환노출,0.036,LSEG
KR7473290005,A473290,ETF,KODEX 26-12 회사채(AA-이상)액티브,473290,0.09,실물(액티브),국내,채권,환노출,0.09,LSEG
KRG500000655,Q500065,ETN,신한 블룸버그 레버리지 WTI원유 선물 ETN,500065,,,,,,,
KR7474220001,A474220,ETF,TIGER 미국테크TOP10타겟커버드콜,474220,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KR7474590007,A474590,ETF,WON 반도체밸류체인액티브,474590,0.31,실물(액티브),국내,주식,환노출,0.31,LSEG
KR7475260006,A475260,ETF,ACE 2월만기자동연장회사채AA-이상액티브,475260,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7475310009,A475310,ETF,SOL 반도체후공정,475310,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7479730004,A479730,ETF,TIGER 인도빌리언컨슈머,479730,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7479850000,A479850,ETF,HANARO K-뷰티,479850,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7480040005,A480040,ETF,ACE 미국반도체데일리타겟커버드콜(합성),480040,0.45,합성(패시브),해외,주식,합성,0.45,LSEG
KR7481060002,A481060,ETF,KODEX 미국30년국채타겟커버드콜(합성 H),481060,0.25,합성(패시브),해외,채권,환노출,0.25,LSEG
KR7481200004,A481200,ETF,SOL 미국테크TOP10인버스(합성),481200,,,,,,,
KR7481430007,A481430,ETF,RISE 국고채10년액티브,481430,0.012,실물(액티브),국내,채권,환노출,0.012,LSEG
KR7482030004,A482030,ETF,KoAct 반도체&2차전지핵심소재액티브,482030,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7482870003,A482870,ETF,HANARO 주주가치성장코리아액티브,482870,,,,,,,
KR7483020004,A483020,ETF,KIWOOM 의료AI,483020,0.49,실물(패시브),국내,주식,환노출,0.49,LSEG
KR7483030003,A483030,ETF,KIWOOM 미국블록버스터바이오테크의약품+,483030,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7483240008,A483240,ETF,TIGER 미국나스닥100ETF선물,483240,0.009,실물(패시브),국내,주식,환노출,0.009,LSEG
KRG610001031,Q610103,ETN,메리츠 솔랙티브 레버리지 금 선물 ETN(H),610103,,,,,,,
KRG610001056,Q610105,ETN,메리츠 레버리지 국채30년 ETN B,610105,,,,,,,
KRG700000125,Q700012,ETN,하나 인버스 2X 옥수수 선물 ETN(H),700012,,,,,,,
KRG700000208,Q700020,ETN,하나 블룸버그 -2X 천연가스 선물 ETN(H),700020,,,,,,,
KRG700000315,Q700031,ETN,하나 레버리지 천연가스 선물 ETN(H),700031,,,,,,,
KRG760000049,Q760004,ETN,키움 인버스 미국달러선물 ETN,760004,,,,,,,
KRG760000072,Q760007,ETN,키움 코스피 200 TR ETN,760007,,,,,,,
KRG760000114,Q760011,ETN,키움 레버리지 2차전지산업 ETN,760011,,,,,,,
KRG760000171,Q760017,ETN,키움 조선TOP10 ETN,760017,,,,,,,
KRG760000197,Q760019,ETN,키움 리츠부동산인프라 ETN,760019,,,,,,,
KRG760000262,Q760026,ETN,키움 레버리지 전력 TOP5 ETN,760026,,,,,,,
KRG760000320,Q760032,ETN,키움 모험자본창업투자 ETN,760032,,,,,,,
KR7480020007,A480020,ETF,ACE 미국빅테크7+데일리타겟커버드콜(합성),480020,0.45,합성(패시브),해외,주식,합성,0.45,LSEG
KR7480260009,A480260,ETF,TIGER 27-04회사채(A+이상)액티브,480260,0.1,실물(액티브),국내,채권,환노출,0.1,LSEG
KR7480310002,A480310,ETF,TIGER 글로벌온디바이스AI,480310,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7480460005,A480460,ETF,WON 한국부동산TOP3플러스,480460,0.25,실물(패시브),국내,부동산,환노출,0.25,LSEG
KR7481190007,A481190,ETF,SOL 미국테크TOP10,481190,0.05,실물(패시브),해외,주식,환노출,0.05,LSEG
KR7488080003,A488080,ETF,TIGER 반도체TOP10레버리지,488080,0.49,실물(패시브),국내,주식,환노출,0.49,LSEG
KR7482730009,A482730,ETF,TIGER 미국S&P500타겟데일리커버드콜,482730,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7483320008,A483320,ETF,ACE 엔비디아밸류체인액티브,483320,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KR7484890009,A484890,ETF,SOL 머니마켓액티브,484890,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7485690002,A485690,ETF,RISE 미국AI밸류체인TOP3Plus,485690,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KR7486290000,A486290,ETF,TIGER 미국나스닥100타겟데일리커버드콜,486290,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7486450000,A486450,ETF,SOL 미국AI전력인프라,486450,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7486790009,A486790,ETF,HANARO 코스닥150선물레버리지1.5X,486790,,,,,,,
KRG500000572,Q500057,ETN,신한 인버스 2X Russell 2000 ETN,500057,,,,,,,
KR7488480005,A488480,ETF,RISE 일본섹터TOP4Plus,488480,0.3,실물(패시브),해외,주식,환노출,0.3,LSEG
KRG500000986,Q500098,ETN,신한 인버스 2X Russell 2000 ETN B,500098,,,,,,,
KR7489010009,A489010,ETF,PLUS 글로벌AI인프라,489010,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7489030007,A489030,ETF,PLUS 고배당주위클리커버드콜,489030,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7489250001,A489250,ETF,KODEX 미국배당다우존스,489250,0.009,실물(패시브),해외,주식,환노출,0.009,LSEG
KR7491220000,A491220,ETF,PLUS 200TR,491220,0.01,실물(패시브),국내,주식,환노출,0.01,LSEG
KR7494420003,A494420,ETF,PLUS 미국배당증가성장주데일리커버드콜,494420,0.39,실물(패시브),해외,주식,환노출,0.39,LSEG
KRG500000630,Q500063,ETN,신한 인버스 코스닥 150 선물 ETN,500063,,,,,,,
KR7495040008,A495040,ETF,PLUS 코리아밸류업,495040,0.009,실물(패시브),국내,주식,환노출,0.009,LSEG
KR7495940009,A495940,ETF,RISE 미국AI테크액티브,495940,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR7497510008,A497510,ETF,ACE 글로벌빅파마,497510,0.3,실물(패시브),해외,주식,환노출,0.3,LSEG
KR7497520007,A497520,ETF,ACE 일라이릴리밸류체인,497520,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7498050004,A498050,ETF,HANARO 바이오코리아액티브,498050,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7498610005,A498610,ETF,RISE 인도디지털성장,498610,0.3,실물(패시브),해외,주식,환노출,0.3,LSEG
KR7498860006,A498860,ETF,RISE 코리아금융고배당,498860,0.1,실물(패시브),국내,주식,환노출,0.1,LSEG
KRG500000556,Q500055,ETN,신한 인버스 Russell 2000 ETN,500055,,,,,,,
KRG500000994,Q500099,ETN,신한 WTI원유 선물 ETN,500099,,,,,,,
KRG501500356,Q500035,ETN,신한 레버리지 미국달러 선물 ETN,500035,,,,,,,
KRG502100289,Q500028,ETN,신한 인버스 2X 다우존스지수 선물 ETN(H),500028,,,,,,,
KRG502400093,Q500009,ETN,신한 다우존스지수 선물 ETN(H),500009,,,,,,,
KRG502400143,Q500014,ETN,신한 인버스 옥수수 선물 ETN(H),500014,,,,,,,
KRG510000299,Q510029,ETN,대신 S&P 인버스 2X 천연가스 선물 ETN,510029,,,,,,,
KRG510000372,Q510037,ETN,대신 S&P 2X 천연가스 선물 ETN B,510037,,,,,,,
KRG510000414,Q510041,ETN,대신 KAP 통안채 3개월 ETN,510041,,,,,,,
KRG520000503,Q520050,ETN,미래에셋 인버스 2X 원유선물혼합 ETN(H),520050,,,,,,,
KRG520000545,Q520054,ETN,미래에셋 레버리지 코스피200 선물 ETN,520054,,,,,,,
KRG520000628,Q520062,ETN,미래에셋 인도네시아 금속&에너지 Top5 ETN,520062,,,,,,,
KRG520000636,Q520063,ETN,미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),520063,,,,,,,
KR7483290003,A483290,ETF,KODEX 미국배당다우존스타겟커버드콜,483290,0.39,실물(패시브),해외,주식,환노출,0.39,LSEG
KR7483570008,A483570,ETF,KCGI 미국S&P500 TOP10,483570,0.36,실물(패시브),해외,주식,환노출,0.36,LSEG
KR7484880000,A484880,ETF,SOL 금융지주플러스고배당,484880,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7485810006,A485810,ETF,TIME 글로벌바이오액티브,485810,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR7486780000,A486780,ETF,HANARO 200선물레버리지1.5X,486780,,,,,,,
KR7487130007,A487130,ETF,KoAct AI인프라액티브,487130,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7487750002,A487750,ETF,BNK 온디바이스AI,487750,0.395,실물(패시브),국내,주식,환노출,0.395,LSEG
KRG520000768,Q520076,ETN,미래에셋 1.5X 천연가스 선물 ETN,520076,,,,,,,
KR7488210006,A488210,ETF,KIWOOM K-반도체북미공급망,488210,0.49,실물(패시브),국내,주식,환노출,0.49,LSEG
KR7488980004,A488980,ETF,SOL 26-12 회사채(AA-이상)액티브,488980,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7489290007,A489290,ETF,WON 미국빌리어네어,489290,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7489870006,A489870,ETF,KIWOOM 25-09 회사채(AA-이상)액티브,489870,,,,,,,
KR7490330008,A490330,ETF,KoAct 미국치매&뇌질환치료제액티브,490330,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR7491010005,A491010,ETF,TIGER 글로벌AI전력인프라액티브,491010,0.49,실물(액티브),해외,주식,환노출,0.49,LSEG
KR7491080008,A491080,ETF,KODEX 25-12 은행채(AAA)액티브,491080,,,,,,,
KR7491620001,A491620,ETF,RISE 미국테크100데일리고정커버드콜,491620,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KRG520000800,Q520080,ETN,미래에셋 미국 테크&반도체 TOP3 ETN,520080,,,,,,,
KRG520000826,Q520082,ETN,미래에셋 미국 자율주행대표기업 ETN,520082,,,,,,,
KRG520000859,Q520085,ETN,미래에셋 -2X 미국 AI TOP3 ETN,520085,,,,,,,
KRG520000867,Q520086,ETN,미래에셋-0.5X S&P500 VIX S/T선물 ETN(H)B,520086,,,,,,,
KRG520000917,Q520091,ETN,미래에셋 인버스 천연가스 선물 ETN B,520091,,,,,,,
KRG520000982,Q520098,ETN,미래에셋 레버리지 반도체 ETN,520098,,,,,,,
KRG520001006,Q520100,ETN,미래에셋 레버리지 삼성전자 단일종목 ETN,520100,,,,,,,
KRG530000998,Q530099,ETN,삼성 블룸버그 레버리지 WTI원유 선물 ETN,530099,,,,,,,
KRG530001103,Q530110,ETN,삼성 인버스 0.5X S&P500 VIX S/T선물 ETN,530110,,,,,,,
KRG530001202,Q530120,ETN,삼성 나스닥 100 TR ETN,530120,,,,,,,
KR7491700001,A491700,ETF,HK 200,491700,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7491830006,A491830,ETF,TIGER 미국AI반도체팹리스,491830,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7492500004,A492500,ETF,1Q 현대차그룹채권(A+이상)&국고통안,492500,0.1,실물(패시브),국내,채권,환노출,0.1,LSEG
KR7493810006,A493810,ETF,TIGER 미국AI빅테크10타겟데일리커버드콜,493810,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7494330004,A494330,ETF,ACE 라이프자산주주가치액티브,494330,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7494410004,A494410,ETF,PLUS 미국S&P500성장주,494410,0.006,실물(패시브),해외,주식,환노출,0.006,LSEG
KR7494670003,A494670,ETF,TIGER 조선TOP10,494670,0.35,실물(패시브),국내,주식,환노출,0.35,LSEG
KRG550000662,Q550066,ETN,N2 S&P500 버퍼10% 9월 ETN,550066,,,,,,,
KRG530001301,Q530130,ETN,삼성 S&P500 VIX S/T 선물 ETN B,530130,,,,,,,
KRG530001327,Q530132,ETN,삼성 블룸버그 WTI원유 선물 ETN B,530132,,,,,,,
KRG530001335,Q530133,ETN,삼성 블룸버그 레버리지 WTI원유선물 ETN B,530133,,,,,,,
KRG530001418,Q530141,ETN,삼성 중국 자동차 TOP5 TR ETN(H),530141,,,,,,,
KRG532100200,Q530020,ETN,삼성 미국 대형 가치주 ETN,530020,,,,,,,
KRG532400360,Q530036,ETN,삼성 인버스 2X WTI원유 선물 ETN,530036,,,,,,,
KRG532400568,Q530056,ETN,삼성 인버스 2X 금 선물 ETN(H),530056,,,,,,,
KRG532400626,Q530062,ETN,삼성 인버스 2X 은 선물 ETN(H),530062,,,,,,,
KRG536100024,Q530002,ETN,삼성 인버스 China A50 선물 ETN(H),530002,,,,,,,
KRG536100149,Q530014,ETN,삼성 China A50 선물 ETN(H),530014,,,,,,,
KRG536100230,Q530023,ETN,삼성 레버리지 China A50 선물 ETN(H),530023,,,,,,,
KR7494840002,A494840,ETF,TIGER 미국방산TOP10,494840,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7495050007,A495050,ETF,RISE 코리아밸류업,495050,0.008,실물(패시브),국내,주식,환노출,0.008,LSEG
KR7495330003,A495330,ETF,1Q 코리아밸류업,495330,0.02,실물(패시브),국내,주식,환노출,0.02,LSEG
KR7495750002,A495750,ETF,HANARO 코리아밸류업,495750,0.026,실물(패시브),국내,주식,환노출,0.026,LSEG
KR7496080003,A496080,ETF,TIGER 코리아밸류업,496080,0.008,실물(패시브),국내,주식,환노출,0.008,LSEG
KR7496120007,A496120,ETF,ACE 코리아밸류업,496120,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7497880005,A497880,ETF,SOL CD금리&머니마켓액티브,497880,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KRG550000720,Q550072,ETN,N2 블룸버그 -2X WTI원유선물 ETN,550072,,,,,,,
KR7498400001,A498400,ETF,KODEX 200타겟위클리커버드콜,498400,0.39,실물(패시브),국내,주식,환노출,0.39,LSEG
KR7498410000,A498410,ETF,KODEX 금융고배당TOP10타겟위클리커버드콜,498410,0.39,실물(패시브),국내,주식,환노출,0.39,LSEG
KR7499660009,A499660,ETF,TIGER CD금리플러스액티브(합성),499660,0.009,합성(액티브),국내,기타,합성,0.009,LSEG
KRG500000614,Q500061,ETN,신한 인버스 코스피 200 선물 ETN,500061,,,,,,,
KRG500000705,Q500070,ETN,신한 인버스 2X 코스피 200 선물 ETN,500070,,,,,,,
KRG500000770,Q500077,ETN,신한 인버스0.5X S&P500 VIX S/T선물 ETN,500077,,,,,,,
KRG500000846,Q500084,ETN,신한 미국달러 SOFR금리 플러스 ETN,500084,,,,,,,
KRG500000861,Q500086,ETN,신한 코스닥 150 TR ETN,500086,,,,,,,
KRG500000911,Q500091,ETN,신한 33-12 국고채 플러스 ETN,500091,,,,,,,
KRG550000936,Q550093,ETN,N2 전력인프라 Top5 ETN,550093,,,,,,,
KRG550000951,Q550095,ETN,N2 레버리지 국채10년 ETN,550095,,,,,,,
KRG550000969,Q550096,ETN,N2 레버리지 국채30년 ETN,550096,,,,,,,
KRG550000985,Q550098,ETN,N2 인버스 2X 코스닥150 선물 ETN,550098,,,,,,,
KRG550000993,Q550099,ETN,N2 레버리지 천연가스 선물 ETN,550099,,,,,,,
KRG550001009,Q550100,ETN,N2 인버스 2X 천연가스 선물 ETN,550100,,,,,,,
KRG552100411,Q550041,ETN,N2 미국 IT TOP5 ETN(H),550041,,,,,,,
KRG552100445,Q550044,ETN,N2 레버리지 S&P500 ETN,550044,,,,,,,
KRG570000478,Q570047,ETN,한투 FTSE100 ETN,570047,,,,,,,
KRG570000502,Q570050,ETN,한투 S&P500선물 ETN,570050,,,,,,,
KRG500000952,Q500095,ETN,신한 S&P500 VIX S/T 선물 ETN E,500095,,,,,,,
KRG500001000,Q500100,ETN,신한 금 선물 ETN,500100,,,,,,,
KRG502100503,Q500050,ETN,신한 레버리지 S&P500 선물 ETN,500050,,,,,,,
KRG502400051,Q500005,ETN,신한 인버스 브렌트원유 선물 ETN(H),500005,,,,,,,
KRG502400069,Q500006,ETN,신한 인버스 금 선물 ETN(H),500006,,,,,,,
KRG502400119,Q500011,ETN,신한 달러인덱스 선물 ETN(H),500011,,,,,,,
KRG502400127,Q500012,ETN,신한 인버스 달러인덱스 선물 ETN(H),500012,,,,,,,
KRG502400150,Q500015,ETN,신한 WTI원유 선물 ETN(H),500015,,,,,,,
KRG502400234,Q500023,ETN,신한 콩 선물 ETN(H),500023,,,,,,,
KRG502400382,Q500038,ETN,신한 인버스 2X 금 선물 ETN,500038,,,,,,,
KRG510000158,Q510015,ETN,대신 밀 선물 ETN(H),510015,,,,,,,
KRG570000510,Q570051,ETN,한투 나스닥100 ETN,570051,,,,,,,
KRG570000700,Q570070,ETN,한투 인버스2X플래티넘선물 ETN,570070,,,,,,,
KRG570000726,Q570072,ETN,한투 레버리지구리선물 ETN,570072,,,,,,,
KRG570000734,Q570073,ETN,한투 인버스2X구리선물 ETN,570073,,,,,,,
KRG570000742,Q570074,ETN,한투 유럽탄소배출권선물 ETN(H),570074,,,,,,,
KRG570000825,Q570082,ETN,한투 인버스2X코스닥150선물 ETN,570082,,,,,,,
KRG570000932,Q570093,ETN,한투 레버리지천연가스선물 ETN B,570093,,,,,,,
KRG570000940,Q570094,ETN,한투 일본엔선물 ETN C,570094,,,,,,,
KRG570000965,Q570096,ETN,한투 인버스2X일본엔선물 ETN,570096,,,,,,,
KRG570001039,Q570103,ETN,한투 인버스2X나스닥100 ETN B,570103,,,,,,,
KRG510000430,Q510043,ETN,대신 인버스 천연가스 선물 ETN(H) B,510043,,,,,,,
KRG520000396,Q520039,ETN,미래에셋 코스닥150 선물 ETN,520039,,,,,,,
KRG520000479,Q520047,ETN,미래에셋 인버스 2X 옥수수 선물 ETN,520047,,,,,,,
KRG520000644,Q520064,ETN,미래에셋 2X 미국채울트라30년 선물 ETN,520064,,,,,,,
KRG520000669,Q520066,ETN,미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,520066,,,,,,,
KRG520000677,Q520067,ETN,미래에셋 홍콩H 선물 ETN(H),520067,,,,,,,
KRG520000719,Q520071,ETN,미래에셋 0.5X 코스닥150 선물 ETN,520071,,,,,,,
KRG520000784,Q520078,ETN,미래에셋 미국 제약 TOP3 ETN,520078,,,,,,,
KRG520000818,Q520081,ETN,미래에셋 2X 미국 테크&반도체 TOP3 ETN,520081,,,,,,,
KRG520000842,Q520084,ETN,미래에셋 -2X 미국 자율주행대표기업 ETN,520084,,,,,,,
KRG570001054,Q570105,ETN,한투 인버스일본니케이225선물 ETN(H),570105,,,,,,,
KRG570001096,Q570109,ETN,한투 레버리지미국채30년 ETN,570109,,,,,,,
KRG570001104,Q570110,ETN,한투 3X레버리지국채30년 ETN,570110,,,,,,,
KRG570001112,Q570111,ETN,한투 3X레버리지미국채30년 ETN,570111,,,,,,,
KRG570001146,Q570114,ETN,한투 S&P500 VIX S/T선물 ETN(H) B,570114,,,,,,,
KRG570001195,Q570119,ETN,한투 인버스2X은선물 ETN,570119,,,,,,,
KRG570001237,Q570123,ETN,한투 은선물 ETN,570123,,,,,,,
KRG570001278,Q570127,ETN,한투 인버스2X코스피200선물 ETN,570127,,,,,,,
KRG571100194,Q570019,ETN,한투 코스피양매도5%OTM ETN,570019,,,,,,,
KRG580000153,Q580015,ETN,KB 레버리지 나스닥 100 ETN,580015,,,,,,,
KRG520000925,Q520092,ETN,미래에셋 레버리지 은 선물 ETN B,520092,,,,,,,
KRG520001014,Q520101,ETN,미래에셋 레버리지 SK하이닉스 단일종목ETN,520101,,,,,,,
KRG521800265,Q520026,ETN,미래에셋 코스피 양매도 5% OTM ETN,520026,,,,,,,
KRG530000832,Q530083,ETN,삼성 금 선물 ETN(H),530083,,,,,,,
KRG530000949,Q530094,ETN,삼성 인버스 코스닥 150 선물 ETN,530094,,,,,,,
KRG530000964,Q530096,ETN,삼성 인버스 구리 선물 ETN(H),530096,,,,,,,
KRG530001020,Q530102,ETN,삼성 인버스 2X 천연가스 선물 ETN C,530102,,,,,,,
KRG530001152,Q530115,ETN,삼성 레버리지 나스닥 100 TR ETN,530115,,,,,,,
KRG530001210,Q530121,ETN,삼성 항셍테크 TR ETN(H) B,530121,,,,,,,
KRG530001251,Q530125,ETN,삼성 인버스 2X 일본니케이225선물 ETN(H),530125,,,,,,,
KRG580000211,Q580021,ETN,KB 인버스 천연가스 선물 ETN,580021,,,,,,,
